i,t,d_it
2268,AM,155
2268,OP,1046
2268,PM,453
2265,AM,24
2265,OP,136
2265,PM,64
2263,AM,45
2263,OP,290
2263,PM,106
2259,AM,151
2259,OP,534
2259,PM,274
1824,AM,364
1824,OP,1707
1824,PM,701
1823,AM,302
1823,OP,1535
1823,PM,699
1822,AM,47
1822,OP,366
1822,PM,184
1821,AM,191
1821,OP,1317
1821,PM,652
1820,AM,22
1820,OP,225
1820,PM,98
1819,AM,25
1819,OP,349
1819,PM,187
1818,AM,187
1818,OP,1551
1818,PM,685
1815,AM,22
1815,OP,239
1815,PM,91
1814,AM,333
1814,OP,1679
1814,PM,693
1813,AM,50
1813,OP,398
1813,PM,206
1809,AM,48
1809,OP,286
1809,PM,110
1807,AM,69
1807,OP,511
1807,PM,237
1798,AM,145
1798,OP,1181
1798,PM,519
1770,AM,77
1770,OP,331
1770,PM,136
1769,AM,441
1769,OP,2042
1769,PM,843
1768,AM,234
1768,OP,842
1768,PM,351
1767,AM,616
1767,OP,2646
1767,PM,1114
1765,AM,186
1765,OP,1155
1765,PM,469
1763,AM,215
1763,OP,1230
1763,PM,628
1758,AM,56
1758,OP,373
1758,PM,149
1757,AM,152
1757,OP,851
1757,PM,414
1756,AM,102
1756,OP,778
1756,PM,513
1754,AM,68
1754,OP,457
1754,PM,179
1753,AM,162
1753,OP,916
1753,PM,480
1749,AM,111
1749,OP,625
1749,PM,251
1748,AM,208
1748,OP,1073
1748,PM,450
1745,AM,199
1745,OP,1030
1745,PM,447
1744,AM,398
1744,OP,1566
1744,PM,667
1739,AM,71
1739,OP,521
1739,PM,350
1738,AM,187
1738,OP,913
1738,PM,371
1737,AM,186
1737,OP,1080
1737,PM,462
1730,AM,276
1730,OP,1281
1730,PM,555
1729,AM,323
1729,OP,1350
1729,PM,535
1728,AM,390
1728,OP,2636
1728,PM,1228
1727,AM,530
1727,OP,1914
1727,PM,763
1726,AM,187
1726,OP,847
1726,PM,430
1725,AM,85
1725,OP,494
1725,PM,200
1722,AM,163
1722,OP,1345
1722,PM,607
1721,AM,401
1721,OP,2479
1721,PM,1158
1720,AM,257
1720,OP,1310
1720,PM,622
1102,AM,270
1102,OP,1560
1102,PM,690
1098,AM,358
1098,OP,1412
1098,PM,590
1097,AM,262
1097,OP,881
1097,PM,410
1096,AM,372
1096,OP,2002
1096,PM,988
1093,AM,99
1093,OP,513
1093,PM,235
1092,AM,386
1092,OP,1680
1092,PM,800
1091,AM,292
1091,OP,1711
1091,PM,731
1090,AM,382
1090,OP,1660
1090,PM,635
1052,AM,206
1052,OP,1649
1052,PM,817
1051,AM,445
1051,OP,1532
1051,PM,643
1050,AM,280
1050,OP,1639
1050,PM,740
1039,AM,251
1039,OP,2512
1039,PM,1276
1038,AM,439
1038,OP,1518
1038,PM,708
1028,AM,234
1028,OP,1579
1028,PM,629
1025,AM,783
1025,OP,2672
1025,PM,1129
1024,AM,822
1024,OP,4055
1024,PM,1809
1019,AM,126
1019,OP,1411
1019,PM,620
1017,AM,152
1017,OP,1386
1017,PM,708
358,AM,735
358,OP,2640
358,PM,1141
349,AM,150
349,OP,582
349,PM,293
296,AM,225
296,OP,1933
296,PM,1139
289,AM,326
289,OP,3593
289,PM,1822
265,AM,1350
265,OP,5931
265,PM,2477
264,AM,689
264,OP,3029
264,PM,1210
262,AM,610
262,OP,2663
262,PM,1375
260,AM,404
260,OP,2505
260,PM,1245
259,AM,704
259,OP,4397
259,PM,1963
258,AM,357
258,OP,2353
258,PM,1021
256,AM,188
256,OP,1347
256,PM,631
254,AM,125
254,OP,1152
254,PM,828
253,AM,249
253,OP,1347
253,PM,953
252,AM,138
252,OP,825
252,PM,554
251,AM,162
251,OP,688
251,PM,446
250,AM,550
250,OP,2979
250,PM,1362
249,AM,649
249,OP,3165
249,PM,1445
248,AM,507
248,OP,4925
248,PM,2147
247,AM,372
247,OP,3269
247,PM,1643
246,AM,551
246,OP,1972
246,PM,897
225,AM,141
225,OP,974
225,PM,597
189,AM,336
189,OP,2540
189,PM,1136
183,AM,488
183,OP,3448
183,PM,1618
